Formatted Date,Temperature (C),Humidity
2006-04-10 00:00:00.000 +0200,10.4222222222222,0.62
2006-04-10 01:00:00.000 +0200,9.91111111111111,0.66
2006-04-10 02:00:00.000 +0200,11.1833333333333,0.8
2006-04-10 03:00:00.000 +0200,7.15555555555556,0.79
2006-04-10 04:00:00.000 +0200,6.11111111111111,0.82
2006-04-10 05:00:00.000 +0200,6.78888888888889,0.83
2006-04-10 06:00:00.000 +0200,7.26111111111111,0.85
2006-04-10 07:00:00.000 +0200,7.8,0.83
2006-04-10 08:00:00.000 +0200,9.87222222222223,0.78
2006-04-10 09:00:00.000 +0200,12.2222222222222,0.72
2006-04-10 10:00:00.000 +0200,15.0944444444444,0.61
2006-04-10 11:00:00.000 +0200,17.3555555555556,0.52
2006-04-10 12:00:00.000 +0200,19.0055555555555,0.46
2006-04-10 13:00:00.000 +0200,20.0444444444444,0.4
2006-04-10 14:00:00.000 +0200,21.05,0.4
2006-04-10 15:00:00.000 +0200,21.1833333333333,0.37
2006-04-10 16:00:00.000 +0200,20.1166666666667,0.4
2006-04-10 17:00:00.000 +0200,20.2166666666667,0.36
2006-04-10 18:00:00.000 +0200,20,0.43
2006-04-10 19:00:00.000 +0200,17.8,0.5
2006-04-10 20:00:00.000 +0200,16.0611111111111,0.53
2006-04-10 21:00:00.000 +0200,15.0222222222222,0.55
2006-04-10 22:00:00.000 +0200,14.4222222222222,0.58
2006-04-10 23:00:00.000 +0200,14.2555555555556,0.59
2006-04-11 00:00:00.000 +0200,13.7722222222222,0.6
2006-04-11 01:00:00.000 +0200,13.2833333333333,0.63
2006-04-11 02:00:00.000 +0200,8.63333333333333,0.87
2006-04-11 03:00:00.000 +0200,11.25,0.83
2006-04-11 04:00:00.000 +0200,11.1833333333333,0.89
2006-04-11 05:00:00.000 +0200,10.6944444444444,0.95
2006-04-11 06:00:00.000 +0200,11.1111111111111,0.93
2006-04-11 07:00:00.000 +0200,11.1111111111111,0.93
2006-04-11 08:00:00.000 +0200,12.1666666666667,0.82
2006-04-11 09:00:00.000 +0200,12.7555555555556,0.79
2006-04-11 10:00:00.000 +0200,13.8388888888889,0.84
2006-04-11 11:00:00.000 +0200,16.1833333333333,0.73
2006-04-11 12:00:00.000 +0200,17.5166666666667,0.67
2006-04-11 13:00:00.000 +0200,17.3833333333333,0.67
2006-04-11 14:00:00.000 +0200,17.3611111111111,0.71
2006-04-11 15:00:00.000 +0200,17.2055555555556,0.74
2006-04-11 16:00:00.000 +0200,15.6333333333333,0.81
2006-04-11 17:00:00.000 +0200,13.5777777777778,0.9
2006-04-11 18:00:00.000 +0200,10.9111111111111,0.86
2006-04-11 19:00:00.000 +0200,8.8,0.99
2006-04-11 20:00:00.000 +0200,8.96111111111111,0.93
2006-04-11 21:00:00.000 +0200,8.2,0.96
2006-04-11 22:00:00.000 +0200,7.68888888888889,0.96
2006-04-11 23:00:00.000 +0200,7.76666666666666,0.96
2006-04-12 00:00:00.000 +0200,8.2,0.96
2006-04-12 01:00:00.000 +0200,8.17777777777778,0.93
2006-04-12 02:00:00.000 +0200,7.31111111111111,0.82
2006-04-12 03:00:00.000 +0200,7.64444444444444,0.93
2006-04-12 04:00:00.000 +0200,6.62222222222222,0.93
2006-04-12 05:00:00.000 +0200,6.68333333333333,0.93
2006-04-12 06:00:00.000 +0200,6.08888888888889,0.93
2006-04-12 07:00:00.000 +0200,6.06666666666667,0.93
2006-04-12 08:00:00.000 +0200,6.14444444444445,0.93
2006-04-12 09:00:00.000 +0200,7.13333333333334,0.8
2006-04-12 10:00:00.000 +0200,7.20555555555556,0.86
2006-04-12 11:00:00.000 +0200,7.56666666666667,0.84
2006-04-12 12:00:00.000 +0200,8.9,0.77
2006-04-12 13:00:00.000 +0200,9.96111111111111,0.71
2006-04-12 14:00:00.000 +0200,9.88888888888889,0.71
2006-04-12 15:00:00.000 +0200,11.0666666666667,0.71
2006-04-12 16:00:00.000 +0200,10.1166666666667,0.76
2006-04-12 17:00:00.000 +0200,11.0388888888889,0.66
2006-04-12 18:00:00.000 +0200,10.65,0.7
2006-04-12 19:00:00.000 +0200,10.05,0.7
2006-04-12 20:00:00.000 +0200,9.9,0.66
2006-04-12 21:00:00.000 +0200,8.79444444444444,0.71
2006-04-12 22:00:00.000 +0200,7.82777777777778,0.72
2006-04-12 23:00:00.000 +0200,7.85555555555556,0.72
2006-04-13 00:00:00.000 +0200,7.31666666666667,0.75
2006-04-13 01:00:00.000 +0200,7.24444444444444,0.75
2006-04-13 02:00:00.000 +0200,5.43888888888889,0.88
2006-04-13 03:00:00.000 +0200,7.2,0.76
2006-04-13 04:00:00.000 +0200,6.68888888888889,0.7
2006-04-13 05:00:00.000 +0200,6.21111111111111,0.73
2006-04-13 06:00:00.000 +0200,6.11111111111111,0.76
2006-04-13 07:00:00.000 +0200,6.11111111111111,0.76
2006-04-13 08:00:00.000 +0200,6.17222222222222,0.76
2006-04-13 09:00:00.000 +0200,7.22222222222222,0.71
2006-04-13 10:00:00.000 +0200,7.28888888888889,0.73
2006-04-13 11:00:00.000 +0200,7.40555555555556,0.72
2006-04-13 12:00:00.000 +0200,7.96111111111111,0.7
2006-04-13 13:00:00.000 +0200,8.03333333333334,0.7
2006-04-13 14:00:00.000 +0200,9.07777777777778,0.65
2006-04-13 15:00:00.000 +0200,9.05,0.62
2006-04-13 16:00:00.000 +0200,9.05,0.65
2006-04-13 17:00:00.000 +0200,9.18333333333333,0.65
2006-04-13 18:00:00.000 +0200,9.07222222222222,0.7
2006-04-13 19:00:00.000 +0200,7.98333333333333,0.75
2006-04-13 20:00:00.000 +0200,8.07222222222222,0.75
2006-04-13 21:00:00.000 +0200,7.89444444444445,0.82
2006-04-13 22:00:00.000 +0200,7.31111111111111,0.83
2006-04-13 23:00:00.000 +0200,7.33888888888889,0.84
